__name__: __main__
__doc__: None
__package__: None
__loader__: <_frozen_importlib_external.SourceFileLoader object at 0x7f881a5d5810>
__spec__: None
__annotations__: {}
__builtins__: <module 'builtins' (built-in)>
__file__: /home/ettore/MultiAgentPolicyRL/DT-multi-agent-policy-rllib/DT/simple_test_orthogonal.py
__cached__: None
argparse: <module 'argparse' from '/home/ettore/anaconda3/envs/dt/lib/python3.10/argparse.py'>
datetime: <module 'datetime' from '/home/ettore/anaconda3/envs/dt/lib/python3.10/datetime.py'>
os: <module 'os' from '/home/ettore/anaconda3/envs/dt/lib/python3.10/os.py'>
string: <module 'string' from '/home/ettore/anaconda3/envs/dt/lib/python3.10/string.py'>
sleep: <built-in function sleep>
time: <built-in function time>
gym: <module 'gym' from '/home/ettore/anaconda3/envs/dt/lib/python3.10/site-packages/gym/__init__.py'>
np: <module 'numpy' from '/home/ettore/anaconda3/envs/dt/lib/python3.10/site-packages/numpy/__init__.py'>
random: <module 'numpy.random' from '/home/ettore/anaconda3/envs/dt/lib/python3.10/site-packages/numpy/random/__init__.py'>
PythonDT: <class 'dt.python_decision_tree.PythonDT'>
RandomlyInitializedEpsGreedyLeaf: <class 'dt.decision_tree.RandomlyInitializedEpsGreedyLeaf'>
GrammaticalEvolutionTranslator: <class 'grammatical_evolution.GrammaticalEvolutionTranslator'>
grammatical_evolution: <function grammatical_evolution at 0x7f880428a050>
string_to_dict: <function string_to_dict at 0x7f881a499bd0>
parser: ArgumentParser(prog='simple_test_orthogonal.py', usage=None, description=None, formatter_class=<class 'argparse.HelpFormatter'>, conflict_handler='error', add_help=True)
date: 2022-11-09_14-56-49
logdir: logs/gym/2022-11-09_14-56-49_xakdxkxm
logfile: logs/gym/2022-11-09_14-56-49_xakdxkxm/log.txt
args: Namespace(jobs=1, seed=0, environment_name='LunarLander-v2', n_actions=4, learning_rate='auto', df=0.9, eps=0.05, input_space=8, episodes=50, episode_len=200, lambda_=30, generations=1000, cxp=0.5, mp=0.5, mutation={'function': 'tools.mutUniformInt', 'low': 0, 'up': 40000, 'indpb': 0.1}, crossover={'function': 'tools.cxOnePoint'}, selection={'function': 'tools.selTournament', 'tournsize': 2}, genotype_len=100, low=-10, up=10, types=None)
best: None
input_space_size: 8
lr: auto
CLeaf: <class '__main__.CLeaf'>
grammar: {'bt': ['<if>'], 'if': ['if <condition>:{<action>}else:{<action>}'], 'condition': ['_in_0<comp_op><const_type_0>', '_in_1<comp_op><const_type_1>', '_in_2<comp_op><const_type_2>', '_in_3<comp_op><const_type_3>', '_in_4<comp_op><const_type_4>', '_in_5<comp_op><const_type_5>', '_in_6<comp_op><const_type_6>', '_in_7<comp_op><const_type_7>'], 'action': ['out=_leaf;leaf="_leaf"', '<if>'], 'comp_op': [' < ', ' > '], 'const_type_0': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9'], 'const_type_1': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9'], 'const_type_2': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9'], 'const_type_3': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9'], 'const_type_4': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9'], 'const_type_5': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9'], 'const_type_6': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9'], 'const_type_7': ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9']}
types: 0,10,1,10;0,10,1,10;0,10,1,10;0,10,1,10;0,10,1,10;0,10,1,10;0,10,1,10;0,10,1,10
index: 7
type_: 0,10,1,10
rng: ['0', '10', '1', '10']
start: 0
stop: 10
step: 1
divisor: 10
consts_: ['0.0', '0.1', '0.2', '0.3', '0.4', '0.5', '0.6', '0.7', '0.8', '0.9']
f: <_io.TextIOWrapper name='logs/gym/2022-11-09_14-56-49_xakdxkxm/log.txt' mode='a' encoding='UTF-8'>
[2022-11-09 14:56:49.294341] New best at generation 0 with fitness (-1000.0,)
Individual()
Leaves
{}
gen 	nevals	avg  	std	min  	max  
0   	30    	-1000	0  	-1000	-1000
1   	21    	-1000	0  	-1000	-1000
2   	21    	-1000	0  	-1000	-1000
3   	26    	-1000	0  	-1000	-1000
4   	25    	-1000	0  	-1000	-1000
5   	23    	-1000	0  	-1000	-1000
6   	27    	-1000	0  	-1000	-1000
7   	24    	-1000	0  	-1000	-1000
8   	25    	-1000	0  	-1000	-1000
9   	21    	-1000	0  	-1000	-1000
10  	23    	-1000	0  	-1000	-1000
11  	27    	-1000	0  	-1000	-1000
12  	23    	-1000	0  	-1000	-1000
13  	27    	-1000	0  	-1000	-1000
14  	24    	-1000	0  	-1000	-1000
15  	19    	-1000	0  	-1000	-1000
16  	21    	-1000	0  	-1000	-1000
17  	25    	-1000	0  	-1000	-1000
18  	24    	-1000	0  	-1000	-1000
19  	24    	-1000	0  	-1000	-1000
20  	22    	-1000	0  	-1000	-1000
21  	21    	-1000	0  	-1000	-1000
22  	21    	-1000	0  	-1000	-1000
23  	27    	-1000	0  	-1000	-1000
24  	20    	-1000	0  	-1000	-1000
25  	23    	-1000	0  	-1000	-1000
26  	23    	-1000	0  	-1000	-1000
27  	24    	-1000	0  	-1000	-1000
28  	22    	-1000	0  	-1000	-1000
29  	23    	-1000	0  	-1000	-1000
30  	28    	-1000	0  	-1000	-1000
31  	18    	-1000	0  	-1000	-1000
32  	28    	-1000	0  	-1000	-1000
33  	18    	-1000	0  	-1000	-1000
34  	25    	-1000	0  	-1000	-1000
35  	25    	-1000	0  	-1000	-1000
36  	24    	-1000	0  	-1000	-1000
37  	20    	-1000	0  	-1000	-1000
38  	25    	-1000	0  	-1000	-1000
39  	25    	-1000	0  	-1000	-1000
40  	26    	-1000	0  	-1000	-1000
41  	21    	-1000	0  	-1000	-1000
42  	23    	-1000	0  	-1000	-1000
43  	24    	-1000	0  	-1000	-1000
44  	24    	-1000	0  	-1000	-1000
45  	26    	-1000	0  	-1000	-1000
46  	22    	-1000	0  	-1000	-1000
47  	22    	-1000	0  	-1000	-1000
48  	22    	-1000	0  	-1000	-1000
49  	26    	-1000	0  	-1000	-1000
50  	26    	-1000	0  	-1000	-1000
51  	26    	-1000	0  	-1000	-1000
52  	25    	-1000	0  	-1000	-1000
53  	24    	-1000	0  	-1000	-1000
54  	22    	-1000	0  	-1000	-1000
55  	23    	-1000	0  	-1000	-1000
56  	22    	-1000	0  	-1000	-1000
57  	24    	-1000	0  	-1000	-1000
58  	25    	-1000	0  	-1000	-1000
59  	20    	-1000	0  	-1000	-1000
60  	22    	-1000	0  	-1000	-1000
61  	24    	-1000	0  	-1000	-1000
62  	19    	-1000	0  	-1000	-1000
63  	23    	-1000	0  	-1000	-1000
64  	27    	-1000	0  	-1000	-1000
65  	19    	-1000	0  	-1000	-1000
66  	21    	-1000	0  	-1000	-1000
67  	20    	-1000	0  	-1000	-1000
68  	24    	-1000	0  	-1000	-1000
69  	25    	-1000	0  	-1000	-1000
70  	25    	-1000	0  	-1000	-1000
71  	22    	-1000	0  	-1000	-1000
72  	22    	-1000	0  	-1000	-1000
73  	21    	-1000	0  	-1000	-1000
74  	22    	-1000	0  	-1000	-1000
75  	21    	-1000	0  	-1000	-1000
76  	19    	-1000	0  	-1000	-1000
77  	22    	-1000	0  	-1000	-1000
78  	19    	-1000	0  	-1000	-1000
79  	21    	-1000	0  	-1000	-1000
80  	23    	-1000	0  	-1000	-1000
81  	28    	-1000	0  	-1000	-1000
82  	26    	-1000	0  	-1000	-1000
83  	20    	-1000	0  	-1000	-1000
84  	17    	-1000	0  	-1000	-1000
85  	17    	-1000	0  	-1000	-1000
86  	21    	-1000	0  	-1000	-1000
87  	24    	-1000	0  	-1000	-1000
88  	22    	-1000	0  	-1000	-1000
89  	26    	-1000	0  	-1000	-1000
90  	21    	-1000	0  	-1000	-1000
91  	17    	-1000	0  	-1000	-1000
92  	24    	-1000	0  	-1000	-1000
93  	20    	-1000	0  	-1000	-1000
94  	24    	-1000	0  	-1000	-1000
95  	20    	-1000	0  	-1000	-1000
96  	21    	-1000	0  	-1000	-1000
97  	27    	-1000	0  	-1000	-1000
98  	23    	-1000	0  	-1000	-1000
99  	17    	-1000	0  	-1000	-1000
100 	23    	-1000	0  	-1000	-1000
101 	25    	-1000	0  	-1000	-1000
102 	26    	-1000	0  	-1000	-1000
103 	21    	-1000	0  	-1000	-1000
